id,symptoms,condition_label,medicine_name,medicine_type,dosage,precautions
1,"lip blisters, red patches, tingling",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
2,"dull tooth pain, gum swelling, sensitivity",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
3,"dull ache, throbbing pain, temple pressure",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
4,"stiffness, post workout pain, muscle soreness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
5,"low-grade fever, chills",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
6,"chesty cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
7,"rashes, red patches",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
8,"gum swelling, dull tooth pain, sensitivity",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
9,"dry cough, throat irritation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
10,"burning, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
11,"burning chest, acid reflux, sour burps",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
12,"frequent loose stools, cramping",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
13,"post workout pain, muscle soreness, stiffness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
14,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
15,"white patches, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
16,"dizziness, vomiting",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
17,"sour burps, acid reflux, burning chest",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
18,"sensitivity, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
19,"tingling, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
20,"bloating, discomfort, gas",indigestion,Gelusil,liquid,10ml after meals,Shake well
21,"red eyes, dryness, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
22,"white patches, painful sores, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
23,"dizziness, vomiting",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
24,"difficulty eating, white patches",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
25,"gum swelling, dull tooth pain, sensitivity",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
26,"scratchy throat, painful swallow",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
27,"chesty cough, productive cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
28,"redness, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
29,"vomiting, dizziness",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
30,"redness, swelling, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
31,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
32,"white patches, difficulty eating, painful sores",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
33,"mucus, chesty cough, productive cough",wet_cough,Ambroxol,syrup,5ml every 8 hrs,Avoid in children <6
34,"throbbing pain, dull ache",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
35,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
36,"productive cough, chesty cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
37,"difficulty eating, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
38,"stiffness, post workout pain, muscle soreness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
39,"burning chest, acid reflux",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
40,"bloating, gas, discomfort",indigestion,Gelusil,liquid,10ml after meals,Shake well
41,"dry mouth, fatigue, dizziness",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
42,"sore throat, runny nose",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
43,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
44,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
45,"itchy eyes, runny nose",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
46,"redness, swelling",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
47,"lip blisters, red patches, tingling",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
48,"sour burps, burning chest",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
49,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
50,"body ache, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
51,"sore throat, sneezing",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
52,"rashes, red patches",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
53,"chills, low-grade fever, body ache",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
54,"infrequent stool, straining",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
55,"runny nose, sneezing",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
56,"bloating, gas, discomfort",indigestion,Gelusil,liquid,10ml after meals,Shake well
57,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
58,"nasal congestion, headache, facial pain",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
59,"burning, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
60,"low-grade fever, body ache",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
61,"post workout pain, stiffness, muscle soreness",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
62,"red eyes, dryness, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
63,"dizziness, dry mouth, fatigue",dehydration,Electral,solution,200ml as needed,Store in cool place
64,"red patches, tingling, lip blisters",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
65,"back ache, lower abdomen pain",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
66,"swelling, redness",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
67,"frequent loose stools, cramping",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
68,"red patches, rashes",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
69,"gum swelling, sensitivity",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
70,"tingling, red patches, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
71,"tingling, lip blisters, red patches",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
72,"muscle aches, fatigue",body_pain,Dolo 650,tablet,1 tab 3x/day,Do not overdose
73,"temple pressure, dull ache",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
74,"itchy eyes, sneezing",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
75,"redness, itching",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
76,"sneezing, itchy eyes",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
77,"fatigue, dizziness, dry mouth",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
78,"gas, bloating",indigestion,Digene,tablet,2 tabs after meals,Chew well
79,"dull tooth pain, sensitivity, gum swelling",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
80,"sensitivity, gum swelling",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
81,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
82,"sour burps, acid reflux",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
83,"dizziness, fatigue, dry mouth",dehydration,Electral,solution,200ml as needed,Store in cool place
84,"post workout pain, muscle soreness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
85,"tingling, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
86,"nasal congestion, facial pain",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
87,"swelling, burning, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
88,"sour burps, acid reflux, burning chest",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
89,"temple pressure, throbbing pain",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
90,"dizziness, nausea, vomiting",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
91,"chills, body ache",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
92,"vomiting, dizziness",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
93,"itching, redness",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
94,"nausea, dizziness",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
95,"headache, nasal congestion",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
96,"redness, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
97,"swelling, redness, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
98,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
99,"dull ache, temple pressure",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
100,"redness, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
101,"dizziness, dry mouth",dehydration,Electral,solution,200ml as needed,Store in cool place
102,"scratchy throat, painful swallow",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
103,"itching, rashes",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
104,"low-grade fever, body ache, chills",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
105,"scratchy throat, painful swallow",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
106,"acid reflux, sour burps, burning chest",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
107,"painful sores, difficulty eating, white patches",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
108,"productive cough, chesty cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
109,"blurry vision, dryness, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
110,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
111,"productive cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
112,"headache, nasal congestion, facial pain",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
113,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
114,"dryness, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
115,"mucus, chesty cough, productive cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
116,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
117,"difficulty eating, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
118,"red eyes, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
119,"runny nose, nasal congestion, sore throat",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
120,"burning chest, acid reflux",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
121,"itching, rashes",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
122,"back ache, lower abdomen pain",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
123,"nausea, vomiting, dizziness",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
124,"frequent loose stools, cramping",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
125,"queasiness, urge to vomit",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
126,"dry cough, throat irritation, tickling sensation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
127,"gas, bloating, discomfort",indigestion,Gelusil,liquid,10ml after meals,Shake well
128,"bloating, gas, discomfort",indigestion,Digene,tablet,2 tabs after meals,Chew well
129,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
130,"swelling, burning, redness",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
131,"acid reflux, burning chest, sour burps",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
132,"red patches, lip blisters, tingling",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
133,"dizziness, vomiting",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
134,"painful sores, difficulty eating, white patches",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
135,"fatigue, dry mouth",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
136,"difficulty eating, painful sores",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
137,"swelling, itching, redness",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
138,"dry mouth, fatigue, dizziness",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
139,"itching, rashes",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
140,"facial pain, nasal congestion, headache",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
141,"straining, infrequent stool",constipation,Lactulose,syrup,15ml once daily,Take with water
142,"dull ache, temple pressure, throbbing pain",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
143,"temple pressure, throbbing pain, dull ache",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
144,"redness, swelling",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
145,"red patches, tingling, lip blisters",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
146,"nausea, dizziness, vomiting",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
147,"chills, body ache",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
148,"painful swallow, scratchy throat",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
149,"fatigue, muscle aches",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
150,"muscle soreness, post workout pain, stiffness",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
151,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
152,"rashes, itching",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
153,"discomfort, gas, bloating",indigestion,Digene,tablet,2 tabs after meals,Chew well
154,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
155,"dizziness, vomiting, nausea",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
156,"red eyes, dryness, blurry vision",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
157,"painful swallow, scratchy throat",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
158,"fatigue, muscle aches",body_pain,Dolo 650,tablet,1 tab 3x/day,Do not overdose
159,"stiffness, post workout pain",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
160,"scratchy throat, painful swallow",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
161,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
162,"white patches, difficulty eating, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
163,"acid reflux, sour burps",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
164,"runny nose, itchy eyes, sneezing",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
165,"vomiting, dizziness, nausea",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
166,"tickling sensation, dry cough",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
167,"discomfort, gas, bloating",indigestion,Digene,tablet,2 tabs after meals,Chew well
168,"rashes, itching, red patches",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
169,"throbbing pain, dull ache, temple pressure",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
170,"tickling sensation, dry cough, throat irritation",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
171,"back ache, lower abdomen pain",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
172,"acid reflux, burning chest, sour burps",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
173,"gas, discomfort, bloating",indigestion,Gelusil,liquid,10ml after meals,Shake well
174,"infrequent stool, straining",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
175,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
176,"dry mouth, dizziness, fatigue",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
177,"muscle soreness, post workout pain, stiffness",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
178,"mild fever, runny nose",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
179,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
180,"itching, swelling",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
181,"dryness, red eyes, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
182,"headache, facial pain, nasal congestion",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
183,"gas, discomfort, bloating",indigestion,Gelusil,liquid,10ml after meals,Shake well
184,"blurry vision, red eyes",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
185,"back ache, lower abdomen pain",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
186,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
187,"mucus, chesty cough",wet_cough,Ambroxol,syrup,5ml every 8 hrs,Avoid in children <6
188,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
189,"dizziness, fatigue, dry mouth",dehydration,Electral,solution,200ml as needed,Store in cool place
190,"white patches, difficulty eating",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
191,"redness, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
192,"throbbing pain, dull ache, temple pressure",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
193,"post workout pain, muscle soreness",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
194,"dizziness, dry mouth, fatigue",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
195,"temple pressure, dull ache, throbbing pain",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
196,"productive cough, mucus, chesty cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
197,"sneezing, runny nose",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
198,"temple pressure, throbbing pain",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
199,"back ache, lower abdomen pain",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
200,"runny nose, itchy eyes, sneezing",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
201,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
202,"red patches, lip blisters",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
203,"swelling, itching, redness",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
204,"burning chest, sour burps",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
205,"sneezing, runny nose, itchy eyes",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
206,"red patches, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
207,"dizziness, nausea",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
208,"chills, low-grade fever, body ache",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
209,"red eyes, blurry vision",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
210,"nasal congestion, sneezing, runny nose",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
211,"itchy eyes, runny nose, sneezing",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
212,"queasiness, urge to vomit",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
213,"white patches, difficulty eating, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
214,"sneezing, mild fever",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
215,"fatigue, dizziness",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
216,"chesty cough, mucus, productive cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
217,"mild fever, nasal congestion, sneezing",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
218,"gas, bloating",indigestion,Gelusil,liquid,10ml after meals,Shake well
219,"acid reflux, burning chest",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
220,"sensitivity, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
221,"facial pain, headache",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
222,"chills, body ache",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
223,"low-grade fever, body ache",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
224,"chills, low-grade fever",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
225,"post workout pain, muscle soreness, stiffness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
226,"post workout pain, muscle soreness, stiffness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
227,"itchy eyes, runny nose, sneezing",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
228,"dull ache, temple pressure, throbbing pain",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
229,"chills, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
230,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
231,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
232,"frequent loose stools, cramping",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
233,"painful swallow, scratchy throat",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
234,"painful sores, difficulty eating, white patches",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
235,"throat irritation, tickling sensation",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
236,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
237,"frequent loose stools, cramping",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
238,"sour burps, burning chest",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
239,"sour burps, acid reflux",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
240,"dry cough, tickling sensation, throat irritation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
241,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
242,"sore throat, nasal congestion",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
243,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
244,"rashes, red patches",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
245,"burning, redness, swelling",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
246,"mucus, chesty cough, productive cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
247,"dryness, blurry vision, red eyes",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
248,"queasiness, urge to vomit",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
249,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
