id,symptoms,condition_label,medicine_name,medicine_type,dosage,precautions
250,"sensitivity, gum swelling",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
251,"sneezing, runny nose, itchy eyes",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
252,"runny nose, sneezing, itchy eyes",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
253,"gum swelling, dull tooth pain, sensitivity",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
254,"itchy eyes, sneezing",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
255,"nasal congestion, sore throat, sneezing",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
256,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
257,"itching, redness, swelling",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
258,"nasal congestion, facial pain, headache",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
259,"difficulty eating, painful sores",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
260,"painful sores, difficulty eating, white patches",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
261,"facial pain, headache, nasal congestion",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
262,"scratchy throat, painful swallow",sore_throat,Vicks Lozenges,lozenge,1 every 3 hrs,Suck slowly
263,"blurry vision, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
264,"scratchy throat, painful swallow",sore_throat,Vicks Lozenges,lozenge,1 every 3 hrs,Suck slowly
265,"bloating, gas",indigestion,Digene,tablet,2 tabs after meals,Chew well
266,"red patches, itching, rashes",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
267,"mucus, chesty cough, productive cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
268,"dizziness, fatigue, dry mouth",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
269,"frequent loose stools, cramping",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
270,"infrequent stool, straining",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
271,"fatigue, muscle aches",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
272,"red eyes, blurry vision, dryness",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
273,"red patches, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
274,"red patches, tingling, lip blisters",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
275,"runny nose, sneezing",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
276,"dry cough, tickling sensation",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
277,"runny nose, mild fever, sneezing",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
278,"nasal congestion, headache, facial pain",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
279,"dry cough, tickling sensation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
280,"frequent loose stools, cramping",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
281,"stiffness, muscle soreness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
282,"difficulty eating, white patches, painful sores",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
283,"itchy eyes, sneezing, runny nose",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
284,"swelling, redness",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
285,"blurry vision, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
286,"acid reflux, sour burps, burning chest",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
287,"painful swallow, scratchy throat",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
288,"blurry vision, dryness, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
289,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
290,"burning chest, sour burps, acid reflux",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
291,"itching, swelling",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
292,"runny nose, sneezing, itchy eyes",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
293,"post workout pain, muscle soreness",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
294,"redness, itching, swelling",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
295,"swelling, itching",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
296,"dryness, red eyes, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
297,"sour burps, burning chest, acid reflux",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
298,"throbbing pain, temple pressure, dull ache",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
299,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
300,"scratchy throat, painful swallow",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
301,"throat irritation, tickling sensation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
302,"dull ache, throbbing pain, temple pressure",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
303,"chills, low-grade fever",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
304,"nasal congestion, mild fever",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
305,"itching, red patches",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
306,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
307,"gas, discomfort, bloating",indigestion,Gelusil,liquid,10ml after meals,Shake well
308,"queasiness, urge to vomit",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
309,"sensitivity, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
310,"nasal congestion, mild fever",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
311,"back ache, lower abdomen pain",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
312,"back ache, lower abdomen pain",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
313,"mucus, productive cough, chesty cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
314,"facial pain, headache",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
315,"facial pain, nasal congestion, headache",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
316,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
317,"frequent loose stools, cramping",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
318,"stiffness, post workout pain, muscle soreness",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
319,"post workout pain, muscle soreness, stiffness",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
320,"dizziness, dry mouth, fatigue",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
321,"blurry vision, dryness, red eyes",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
322,"fatigue, muscle aches",body_pain,Dolo 650,tablet,1 tab 3x/day,Do not overdose
323,"acid reflux, burning chest",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
324,"scratchy throat, painful swallow",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
325,"back ache, lower abdomen pain",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
326,"painful swallow, scratchy throat",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
327,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
328,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
329,"painful swallow, scratchy throat",sore_throat,Vicks Lozenges,lozenge,1 every 3 hrs,Suck slowly
330,"bloating, discomfort",indigestion,Gelusil,liquid,10ml after meals,Shake well
331,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
332,"facial pain, headache",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
333,"bloating, discomfort, gas",indigestion,Digene,tablet,2 tabs after meals,Chew well
334,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
335,"throat irritation, tickling sensation",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
336,"white patches, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
337,"itching, rashes, red patches",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
338,"nasal congestion, sneezing, mild fever",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
339,"nasal congestion, facial pain",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
340,"post workout pain, stiffness, muscle soreness",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
341,"sneezing, itchy eyes",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
342,"low-grade fever, body ache",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
343,"swelling, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
344,"facial pain, headache",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
345,"discomfort, gas",indigestion,Digene,tablet,2 tabs after meals,Chew well
346,"red eyes, dryness, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
347,"sore throat, runny nose",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
348,"sour burps, burning chest",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
349,"tingling, red patches, lip blisters",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
350,"mucus, productive cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
351,"dizziness, vomiting",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
352,"itching, swelling, redness",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
353,"discomfort, gas, bloating",indigestion,Gelusil,liquid,10ml after meals,Shake well
354,"nasal congestion, facial pain, headache",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
355,"post workout pain, muscle soreness",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
356,"discomfort, bloating, gas",indigestion,Gelusil,liquid,10ml after meals,Shake well
357,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
358,"low-grade fever, chills, body ache",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
359,"queasiness, urge to vomit",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
360,"mucus, productive cough",wet_cough,Ambroxol,syrup,5ml every 8 hrs,Avoid in children <6
361,"bloating, gas",indigestion,Gelusil,liquid,10ml after meals,Shake well
362,"blurry vision, red eyes, dryness",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
363,"swelling, redness",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
364,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
365,"acid reflux, burning chest",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
366,"tickling sensation, throat irritation, dry cough",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
367,"dull tooth pain, sensitivity",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
368,"dry mouth, dizziness, fatigue",dehydration,Electral,solution,200ml as needed,Store in cool place
369,"red eyes, dryness",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
370,"red patches, itching",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
371,"red patches, rashes, itching",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
372,"headache, nasal congestion, facial pain",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
373,"swelling, itching, redness",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
374,"nasal congestion, facial pain, headache",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
375,"dizziness, vomiting, nausea",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
376,"itching, red patches",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
377,"dry mouth, fatigue, dizziness",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
378,"back ache, lower abdomen pain",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
379,"throat irritation, dry cough",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
380,"painful swallow, scratchy throat",sore_throat,Vicks Lozenges,lozenge,1 every 3 hrs,Suck slowly
381,"low-grade fever, chills",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
382,"frequent loose stools, cramping",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
383,"burning, redness, swelling",minor_burn,Silverex,cream,Apply thin layer,External use only
384,"back ache, lower abdomen pain",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
385,"facial pain, headache",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
386,"rashes, itching, red patches",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
387,"swelling, redness, burning",minor_burn,Silverex,cream,Apply thin layer,External use only
388,"burning, redness, swelling",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
389,"scratchy throat, painful swallow",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
390,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
391,"fatigue, muscle aches",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
392,"redness, itching",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
393,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
394,"dryness, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
395,"discomfort, bloating, gas",indigestion,Digene,tablet,2 tabs after meals,Chew well
396,"swelling, burning",minor_burn,Silverex,cream,Apply thin layer,External use only
397,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
398,"sour burps, burning chest",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
399,"chesty cough, productive cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
400,"frequent loose stools, cramping",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
401,"mucus, chesty cough, productive cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
402,"chills, body ache, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
403,"body ache, chills, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
404,"straining, infrequent stool",constipation,Lactulose,syrup,15ml once daily,Take with water
405,"painful swallow, scratchy throat",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
406,"low-grade fever, chills",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
407,"painful sores, difficulty eating, white patches",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
408,"painful swallow, scratchy throat",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
409,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
410,"mild fever, nasal congestion, sneezing",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
411,"low-grade fever, chills, body ache",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
412,"tingling, red patches, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
413,"tickling sensation, dry cough, throat irritation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
414,"low-grade fever, chills",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
415,"dizziness, nausea, vomiting",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
416,"lip blisters, tingling, red patches",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
417,"painful sores, white patches",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
418,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
419,"bloating, gas, discomfort",indigestion,Gelusil,liquid,10ml after meals,Shake well
420,"redness, swelling, itching",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
421,"runny nose, sore throat",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
422,"dizziness, dry mouth",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
423,"throbbing pain, dull ache",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
424,"muscle soreness, stiffness, post workout pain",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
425,"lip blisters, tingling",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
426,"white patches, difficulty eating, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
427,"throat irritation, tickling sensation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
428,"muscle soreness, post workout pain",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
429,"runny nose, mild fever",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
430,"headache, nasal congestion, facial pain",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
431,"dizziness, vomiting, nausea",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
432,"facial pain, headache, nasal congestion",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
433,"frequent loose stools, cramping",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
434,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
435,"bloating, discomfort, gas",indigestion,Gelusil,liquid,10ml after meals,Shake well
436,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
437,"blurry vision, dryness",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
438,"queasiness, urge to vomit",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
439,"dry cough, tickling sensation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
440,"sore throat, runny nose",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
441,"throat irritation, tickling sensation",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
442,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
443,"white patches, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
444,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
445,"fatigue, dizziness",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
446,"nasal congestion, runny nose",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
447,"red eyes, blurry vision",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
448,"red eyes, blurry vision, dryness",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
449,"sensitivity, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
450,"facial pain, nasal congestion",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
451,"dryness, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
452,"nausea, vomiting, dizziness",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
453,"queasiness, urge to vomit",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
454,"swelling, itching, redness",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
455,"white patches, difficulty eating, painful sores",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
456,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
457,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
458,"bloating, discomfort",indigestion,Gelusil,liquid,10ml after meals,Shake well
459,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
460,"itching, red patches, rashes",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
461,"red eyes, dryness",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
462,"difficulty eating, painful sores, white patches",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
463,"mild fever, nasal congestion, runny nose",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
464,"redness, burning",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
465,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
466,"queasiness, urge to vomit",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
467,"itching, red patches",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
468,"sneezing, runny nose, itchy eyes",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
469,"low-grade fever, chills",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
470,"dizziness, fatigue",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
471,"gum swelling, dull tooth pain, sensitivity",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
472,"dry mouth, fatigue",dehydration,Electral,solution,200ml as needed,Store in cool place
473,"vomiting, nausea, dizziness",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
474,"nasal congestion, headache, facial pain",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
475,"swelling, redness, burning",minor_burn,Silverex,cream,Apply thin layer,External use only
476,"facial pain, nasal congestion, headache",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
477,"productive cough, chesty cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
478,"swelling, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
479,"lip blisters, tingling, red patches",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
480,"stiffness, post workout pain",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
481,"red patches, tingling, lip blisters",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
482,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
483,"burning, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
484,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
485,"temple pressure, throbbing pain, dull ache",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
486,"dizziness, nausea",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
487,"nasal congestion, runny nose",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
488,"bloating, discomfort, gas",indigestion,Digene,tablet,2 tabs after meals,Chew well
489,"throat irritation, dry cough",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
490,"painful swallow, scratchy throat",sore_throat,Vicks Lozenges,lozenge,1 every 3 hrs,Suck slowly
491,"queasiness, urge to vomit",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
492,"queasiness, urge to vomit",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
493,"painful sores, difficulty eating, white patches",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
494,"chills, body ache, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
495,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
496,"bloating, discomfort, gas",indigestion,Gelusil,liquid,10ml after meals,Shake well
497,"sneezing, runny nose",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
