id,symptoms,condition_label,medicine_name,medicine_type,dosage,precautions
498,"rashes, itching, red patches",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
499,"stiffness, muscle soreness, post workout pain",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
500,"muscle aches, fatigue",body_pain,Dolo 650,tablet,1 tab 3x/day,Do not overdose
501,"blurry vision, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
502,"painful swallow, scratchy throat",sore_throat,Vicks Lozenges,lozenge,1 every 3 hrs,Suck slowly
503,"chesty cough, mucus, productive cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
504,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
505,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
506,"straining, infrequent stool",constipation,Lactulose,syrup,15ml once daily,Take with water
507,"red patches, itching, rashes",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
508,"runny nose, itchy eyes",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
509,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
510,"frequent loose stools, cramping",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
511,"sneezing, runny nose",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
512,"lip blisters, red patches, tingling",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
513,"white patches, painful sores, difficulty eating",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
514,"sneezing, sore throat",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
515,"throbbing pain, dull ache",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
516,"discomfort, bloating",indigestion,Gelusil,liquid,10ml after meals,Shake well
517,"body ache, low-grade fever, chills",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
518,"blurry vision, dryness",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
519,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
520,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
521,"difficulty eating, painful sores",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
522,"dull tooth pain, gum swelling",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
523,"dizziness, vomiting",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
524,"discomfort, bloating, gas",indigestion,Digene,tablet,2 tabs after meals,Chew well
525,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
526,"tickling sensation, dry cough",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
527,"burning, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
528,"red eyes, dryness",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
529,"sensitivity, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
530,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
531,"sour burps, acid reflux, burning chest",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
532,"sneezing, runny nose, itchy eyes",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
533,"sour burps, acid reflux, burning chest",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
534,"sour burps, acid reflux",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
535,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
536,"chesty cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
537,"headache, nasal congestion",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
538,"nausea, dizziness",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
539,"dry cough, throat irritation",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
540,"sensitivity, gum swelling, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
541,"sore throat, sneezing",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
542,"body ache, chills",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
543,"post workout pain, stiffness, muscle soreness",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
544,"mucus, chesty cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
545,"burning, swelling",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
546,"headache, nasal congestion, facial pain",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
547,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
548,"acid reflux, sour burps, burning chest",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
549,"sneezing, sore throat, mild fever",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
550,"throbbing pain, temple pressure",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
551,"red patches, tingling",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
552,"itching, swelling",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
553,"painful swallow, scratchy throat",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
554,"dry cough, tickling sensation",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
555,"painful sores, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
556,"chesty cough, productive cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
557,"dizziness, fatigue, dry mouth",dehydration,Electral,solution,200ml as needed,Store in cool place
558,"tingling, red patches, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
559,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
560,"back ache, lower abdomen pain",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
561,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
562,"stiffness, muscle soreness, post workout pain",sore_muscles,Volini,spray,Spray 2x/day,Do not use on cuts
563,"difficulty eating, painful sores, white patches",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
564,"sore throat, runny nose, mild fever",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
565,"painful sores, difficulty eating, white patches",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
566,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
567,"sneezing, runny nose, mild fever",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
568,"tickling sensation, dry cough, throat irritation",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
569,"productive cough, mucus, chesty cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
570,"red eyes, dryness",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
571,"itching, redness",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
572,"tingling, lip blisters, red patches",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
573,"sneezing, sore throat",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
574,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
575,"runny nose, mild fever",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
576,"itchy eyes, runny nose",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
577,"chills, body ache, low-grade fever",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
578,"straining, infrequent stool",constipation,Lactulose,syrup,15ml once daily,Take with water
579,"painful swallow, scratchy throat",sore_throat,Vicks Lozenges,lozenge,1 every 3 hrs,Suck slowly
580,"nasal congestion, facial pain",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
581,"nasal congestion, facial pain, headache",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
582,"swelling, redness",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
583,"painful sores, white patches, difficulty eating",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
584,"mild fever, nasal congestion",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
585,"productive cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
586,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
587,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
588,"dizziness, fatigue",dehydration,Electral,solution,200ml as needed,Store in cool place
589,"gas, discomfort, bloating",indigestion,Gelusil,liquid,10ml after meals,Shake well
590,"dry mouth, fatigue",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
591,"nausea, dizziness, vomiting",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
592,"facial pain, headache, nasal congestion",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
593,"tickling sensation, throat irritation, dry cough",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
594,"frequent loose stools, cramping",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
595,"blurry vision, dryness, red eyes",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
596,"dryness, red eyes, blurry vision",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
597,"runny nose, itchy eyes",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
598,"discomfort, bloating",indigestion,Digene,tablet,2 tabs after meals,Chew well
599,"body ache, low-grade fever, chills",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
600,"frequent loose stools, cramping",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
601,"gas, bloating",indigestion,Digene,tablet,2 tabs after meals,Chew well
602,"gum swelling, dull tooth pain",mild_toothache,Orajel,gel,Apply to gums,Do not use more than 4x/day
603,"dry mouth, fatigue, dizziness",dehydration,Electral,solution,200ml as needed,Store in cool place
604,"white patches, painful sores, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
605,"gum swelling, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
606,"red patches, lip blisters",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
607,"sneezing, runny nose, itchy eyes",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
608,"gum swelling, sensitivity, dull tooth pain",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
609,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
610,"dryness, blurry vision, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
611,"lower abdomen pain, back ache",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
612,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
613,"fatigue, muscle aches",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
614,"chesty cough, mucus, productive cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
615,"queasiness, urge to vomit",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
616,"nasal congestion, sneezing, sore throat",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
617,"dull tooth pain, gum swelling",mild_toothache,Clove oil,oil,Apply with cotton,Avoid ingestion
618,"mucus, productive cough, chesty cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
619,"queasiness, urge to vomit",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
620,"tingling, lip blisters, red patches",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
621,"itching, rashes",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
622,"painful sores, difficulty eating",mouth_ulcers,Boro Plus,cream,Apply on affected area,Use after meals
623,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
624,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
625,"facial pain, nasal congestion, headache",sinus_congestion,Xylometazoline,nasal spray,1 spray twice/day,Do not overuse
626,"scratchy throat, painful swallow",sore_throat,Vicks Lozenges,lozenge,1 every 3 hrs,Suck slowly
627,"painful sores, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
628,"throat irritation, dry cough",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
629,"dry mouth, dizziness, fatigue",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
630,"cramping, frequent loose stools",diarrhea,ORS,solution,200ml after every loose stool,Use within 24 hrs
631,"discomfort, gas",indigestion,Gelusil,liquid,10ml after meals,Shake well
632,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
633,"tingling, red patches, lip blisters",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
634,"body ache, chills, low-grade fever",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
635,"white patches, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
636,"dizziness, vomiting, nausea",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
637,"tingling, lip blisters, red patches",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
638,"red eyes, dryness",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
639,"runny nose, itchy eyes",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
640,"sour burps, burning chest",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
641,"difficulty eating, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
642,"sneezing, runny nose, itchy eyes",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
643,"scratchy throat, painful swallow",sore_throat,Strepsils,lozenge,1 every 2-3 hrs,Do not exceed 8/day
644,"tickling sensation, dry cough",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
645,"throbbing pain, dull ache, temple pressure",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
646,"white patches, difficulty eating, painful sores",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
647,"red patches, rashes",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
648,"difficulty eating, white patches",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
649,"chesty cough, productive cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
650,"infrequent stool, straining",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
651,"runny nose, itchy eyes, sneezing",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
652,"gas, discomfort",indigestion,Gelusil,liquid,10ml after meals,Shake well
653,"dryness, red eyes, blurry vision",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
654,"sneezing, mild fever, nasal congestion",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
655,"red patches, lip blisters",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
656,"queasiness, urge to vomit",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
657,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
658,"mild fever, runny nose, sore throat",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
659,"nasal congestion, headache",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
660,"dizziness, nausea, vomiting",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
661,"swelling, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
662,"dizziness, vomiting, nausea",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
663,"burning chest, acid reflux, sour burps",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
664,"body ache, chills, low-grade fever",mild_fever,Paracetamol,tablet,1 tab every 6 hrs,Do not exceed 4 tabs/day
665,"red patches, lip blisters, tingling",cold_sores,Abzorb,powder,Sprinkle on sores,External use only
666,"red eyes, dryness, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
667,"itching, red patches, rashes",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
668,"itchy eyes, sneezing",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
669,"burning chest, sour burps, acid reflux",acidity,Pantoprazole,tablet,1 tab before food,Empty stomach
670,"dull ache, throbbing pain",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
671,"chills, body ache, low-grade fever",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
672,"swelling, redness, itching",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
673,"headache, facial pain, nasal congestion",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
674,"muscle aches, fatigue",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
675,"back ache, lower abdomen pain",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
676,"facial pain, nasal congestion, headache",sinus_congestion,Otrivin,nasal spray,1 spray each nostril twice/day,Max 3 days use
677,"swelling, burning, redness",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
678,"back ache, lower abdomen pain",menstrual_cramps,Meftal Spas,tablet,1 tab 2x/day,With food
679,"painful sores, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
680,"itching, redness",insect_bite,Cetrizine,tablet,1 tab at night,May cause drowsiness
681,"body ache, low-grade fever, chills",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
682,"dizziness, vomiting, nausea",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
683,"tingling, lip blisters, red patches",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
684,"dull ache, temple pressure, throbbing pain",headache,Saridon,tablet,1 tab 2x/day,Avoid in pregnancy
685,"sore throat, nasal congestion",common_cold,Dolo Cold,tablet,1 tab every 8 hours,Avoid alcohol
686,"tingling, lip blisters",cold_sores,Zovirax,cream,Apply 5x/day,Avoid contact with eyes
687,"dryness, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
688,"dizziness, dry mouth",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
689,"burning chest, acid reflux",acidity,Rantac,tablet,1 tab before meals,Avoid spicy food
690,"itchy eyes, runny nose",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
691,"urge to vomit, queasiness",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
692,"sneezing, runny nose, itchy eyes",allergic_rhinitis,Cetirizine,tablet,1 tab at night,May cause drowsiness
693,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
694,"fatigue, dizziness, dry mouth",dehydration,Electral,solution,200ml as needed,Store in cool place
695,"itching, rashes, red patches",mild_skin_allergy,Caladryl,lotion,Apply 2x/day,For external use
696,"fatigue, dry mouth, dizziness",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
697,"swelling, redness",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
698,"fatigue, muscle aches",body_pain,Dolo 650,tablet,1 tab 3x/day,Do not overdose
699,"painful swallow, scratchy throat",sore_throat,Vicks Lozenges,lozenge,1 every 3 hrs,Suck slowly
700,"swelling, itching, redness",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
701,"queasiness, urge to vomit",nausea,Domperidone,tablet,1 tab before meals,Avoid alcohol
702,"chesty cough, mucus",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
703,"productive cough, mucus",wet_cough,Ambroxol,syrup,5ml every 8 hrs,Avoid in children <6
704,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
705,"red eyes, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
706,"dry mouth, dizziness",dehydration,ORS,solution,100-200ml/hour,Use within 24 hrs
707,"runny nose, nasal congestion, sneezing",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
708,"red patches, itching",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
709,"dryness, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
710,"itching, redness, swelling",insect_bite,Calamine,lotion,Apply as needed,Do not ingest
711,"lower abdomen pain, back ache",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
712,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
713,"dry cough, tickling sensation, throat irritation",dry_cough,Dextromethorphan,syrup,10ml every 6 hrs,Not for diabetics
714,"dryness, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
715,"swelling, burning, redness",minor_burn,Silverex,cream,Apply thin layer,External use only
716,"nausea, vomiting, dizziness",motion_sickness,Avomine,tablet,1 tab 1 hr before travel,Causes drowsiness
717,"blurry vision, dryness, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
718,"blurry vision, dryness, red eyes",eye_strain,Refresh Tears,eye drops,2 drops 3x/day,Do not touch dropper
719,"fatigue, muscle aches",body_pain,Flexon,tablet,1 tab 2x/day,Take with food
720,"throbbing pain, dull ache",headache,Crocin,tablet,1 tab when needed,Max 2 tabs/day
721,"sore throat, nasal congestion",common_cold,Sinarest,tablet,1 tab 3x/day,May cause drowsiness
722,"dryness, blurry vision",eye_strain,Itone,eye drops,1-2 drops daily,Refrigerate after opening
723,"discomfort, bloating, gas",indigestion,Gelusil,liquid,10ml after meals,Shake well
724,"back ache, lower abdomen pain",menstrual_cramps,Ibuprofen,tablet,1 tab every 8 hrs,Avoid on empty stomach
725,"straining, infrequent stool",constipation,Isabgol,powder,1 tbsp with warm water,Take before bed
726,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
727,"muscle soreness, stiffness, post workout pain",sore_muscles,Moov,cream,Apply gently on affected area,Wash hands after use
728,"dry mouth, dizziness",dehydration,Electral,solution,200ml as needed,Store in cool place
729,"mucus, chesty cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
730,"frequent loose stools, cramping",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
731,"low-grade fever, body ache, chills",mild_fever,Dolo 650,tablet,1 tab after meals,Take with water
732,"mucus, productive cough, chesty cough",wet_cough,Guaifenesin,syrup,10ml 3x/day,Take after food
733,"throat irritation, tickling sensation, dry cough",dry_cough,Ascoril D,syrup,5ml twice daily,Shake well before use
734,"red patches, rashes, itching",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
735,"dizziness, nausea, vomiting",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
736,"painful sores, white patches, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
737,"cramping, frequent loose stools",diarrhea,Loperamide,tablet,1 tab after stool,Not for kids under 12
738,"infrequent stool, straining",constipation,Lactulose,syrup,15ml once daily,Take with water
739,"runny nose, sneezing",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
740,"nausea, vomiting",motion_sickness,Domperidone,tablet,1 tab before travel,Avoid driving
741,"redness, burning",minor_burn,Silverex,cream,Apply thin layer,External use only
742,"itchy eyes, sneezing, runny nose",allergic_rhinitis,Levocetirizine,tablet,1 tab daily,Avoid alcohol
743,"difficulty eating, white patches",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
744,"redness, burning, swelling",minor_burn,Burnol,cream,Apply 2x/day,Do not bandage
745,"painful sores, difficulty eating",mouth_ulcers,Zytee,gel,Apply 3x/day,Do not swallow
746,"rashes, itching, red patches",mild_skin_allergy,Allegra,tablet,1 tab daily,Non-drowsy
747,"urge to vomit, queasiness",nausea,Ondansetron,tablet,1 tab as needed,May cause dizziness
